"","time","X_RIGHT_INDEX","Y_RIGHT_INDEX","Z_RIGHT_INDEX","env","speed","vertical_velocity","acceleration","jerk","gesture_ID","gesture_type"
"16555",127620,-0.181855649152294,-0.222342433613696,-0.319226200952934,0.0009204683,0.129669928440869,0.000360077401494138,-0.0500330149446399,-0.00697683769155099,NA,NA
"16556",127630,-0.181888221460103,-0.222061371574642,-0.318567828686789,0.001038184,0.0848874661785476,0.00026750296212779,-0.0427049189750925,0.00234948756163917,NA,NA
"16558",127640,-0.181906856683703,-0.221905218466562,-0.318124168287198,0.001134257,0.0555527219540104,0.000169603886473005,-0.0313035424887768,0.00781919191973927,NA,NA
"16559",127650,-0.181912281398652,-0.221855329911596,-0.317837491853285,0.001224572,0.0357929012288573,8.40332499161524e-05,-0.0206043086616366,0.00993901861896225,NA,NA
"16560",127660,-0.18191078916896,-0.221855793861608,-0.317672079949353,0.001435974,0.0235201119688278,2.67484680243228e-05,-0.0103574353152172,0.0109049786863217,NA,NA
"16562",127670,-0.181905785365607,-0.221873992293317,-0.317661754571129,0.001963361,0.021676266942805,-3.80562457144025e-06,0.001544335576807,0.012055087701014,NA,NA
"16563",127680,-0.181898908067989,-0.221899174054824,-0.317853861967721,0.002988148,0.0361282660246945,-1.79422194421476e-05,0.0161411463544256,0.0130555126154126,NA,NA
"16564",127690,-0.181893115152629,-0.221926623372701,-0.318324680491705,0.004684269,0.0703646088961868,-2.35781989684992e-05,0.0318839153248853,0.0124372944916222,NA,NA
"16566",127700,-0.181894464480591,-0.221953301170427,-0.319439409319072,0.007167727,0.124319994160365,-2.48501892353944e-05,0.0443500597997311,0.0087335893705766,NA,NA
"16567",127710,-0.181907377051554,-0.22197769774191,-0.321490368686139,0.01043327,0.185986310647737,-2.40881495854585e-05,0.0475543976085691,0.00189329935759177,NA,NA
"16568",127720,-0.181929183317308,-0.222000326739931,-0.324130979587064,0.01436637,0.232971420987801,-2.2713403622087e-05,0.0388171334381011,-0.00584618503340742,NA,NA
