"","begintime","endtime","coding","person","id"
"401",178875,182587,"G-Enactment","2",401
"402",182779,184013,"Pointing Stim 1","3",402
"403",184413,186795,"Pointing Stim 1","1",403
"404",186883,187548,"Feature","1",404
"405",187683,188315,"G-Enactment","3",405
"406",192916,193985,"Feature","1",406
"407",195525,198928,"Usability","2",407
"408",209905,210661,"G-Enactment","2",408
"409",214310,218348,"Function","2",409
"410",224454,225621,"Pointing Stim 1","2",410
"411",233839,237631,"Stimulus 1 touching","3",411
"412",237631,238562,"G-Pointing","3",412
"413",239635,240203,"Pointing Stim 1","2",413
"414",244281,244595,"Feature","3",414
"415",250113,251381,"Feature","3",415
"416",252315,259666,"Feature","1",416
"417",259666,261290,"Pointing Stim 1","2",417
"418",262133,263699,"Feature","2",418
"419",273169,276072,"Usability","2",419
"420",282578,290419,"Stimulus 2 touching","1",420
"421",290419,292188,"Pointing Stim 2","1",421
"422",309393,312408,"G-Enactment","2",422
"423",312408,313248,"Core Functionality","2",423
"424",315278,316078,"Use Case Scenario","3",424
"425",316078,317280,"Stimulus 1 touching","1",425
"426",321250,322118,"Function","1",426
"427",326590,329859,"Usability","2",427
"428",331394,331828,"Function","2",428
"429",331828,333196,"Stimulus 1 touching","2",429
"430",335924,338802,"Builds","3",430
"431",338802,347343,"Enactment Stim 2","3",431
"432",347343,352303,"Usability","2",432
"433",352303,355985,"Use Case Scenario","2",433
"434",355985,357296,"Feature","2",434
"435",357296,360129,"sketching","2",435
"436",364794,367530,"Enactment Stim 3","2",436
"437",367530,371116,"Feature","2",437
"438",372001,375872,"G-Enactment","1",438
"439",381377,384052,"Feature","3",439
"440",387484,388954,"G-Level 1 - low","1",440
"441",389853,393552,"Stimulus 1 touching","1",441
"442",393552,401358,"sketching","2",442
"443",405802,407432,"Stimulus 1 touching","1",443
"444",407794,416224,"sketching","2",444
"445",416224,424287,"Feature","2",445
"446",424287,428524,"writing","2",446
"447",428524,429459,"Stimulus 1 touching","1",447
"448",429459,430126,"Pointing Stim 3","2",448
"449",435197,437652,"G-Level 2 - middle","2",449
"450",438668,442005,"Usability","1",450
"451",442005,446884,"writing","2",451
"452",446884,450512,"G-Level 2 - middle","2",452
"453",456019,457654,"Function","3",453
"454",464441,468719,"G-Level 2 - middle","2",454
"455",474871,477237,"Usability","2",455
"456",478308,479816,"Builds","1",456
"457",479816,481684,"Stimulus 3 touching","2",457
"458",483375,483722,"Stimulus 3 touching","3",458
"459",484147,484580,"Stimulus 3 touching","3",459
"460",487049,488251,"Function","2",460
"461",490640,493556,"Function","2",461
"462",494257,495841,"Feature","2",462
"463",496325,497807,"Usability","3",463
"464",498194,505835,"Use Case Scenario","3",464
"465",505835,508304,"Enactment Stim 2","1",465
"466",508304,508738,"Pointing Stim 3","3",466
"467",510387,517013,"G-Level 2 - middle","2",467
"468",517013,518948,"Function","1",468
"469",524949,534530,"writing","2",469
"470",537932,541771,"Builds","2",470
"471",541771,543339,"Stimulus 3 touching","2",471
"472",543700,544607,"Function","2",472
"473",544607,546469,"Stimulus 3 touching","2",473
"474",546469,547063,"G-Level 1 - low","1",474
"475",547667,553516,"sketching","1",475
"476",553516,564226,"Use Case Scenario","2",476
"477",564226,564353,"G-Enactment","2",477
"478",564353,569867,"sketching","3",478
"479",569867,573436,"Builds","2",479
"480",573436,576172,"Function","1",480
"481",577074,581280,"G-Level 2 - middle","2",481
"482",583652,584745,"G-Enactment","1",482
"483",584745,586685,"Feature","1",483
"484",588985,589685,"Pointing Stim 1","1",484
"485",591373,604567,"Stimulus 3 touching","2",485
"486",604567,606443,"Use Case Scenario","3",486
"487",606484,608641,"writing","1",487
"488",608720,609620,"G-Level 1 - low","3",488
"489",610481,613042,"sketching","1",489
"490",613042,614043,"Stimulus 2 touching","2",490
"491",618948,620357,"Feature","2",491
"492",620683,622285,"Function","2",492
"493",625205,627132,"Function","2",493
"494",628378,632728,"Use Case Scenario","3",494
"495",632728,633263,"Stimulus 1 touching","3",495
"496",636366,637280,"G-Level 3 - high","3",496
"497",638635,639071,"Feature","3",497
"498",639071,640522,"G-Level 3 - high","2",498
"499",640670,645364,"G-Level 2 - middle","2",499
"500",645364,645762,"Narrating while Drawing","2",500
"501",645762,647562,"G-Enactment","1",501
"502",647562,649245,"writing","2",502
"503",649245,655033,"sketching","1",503
"504",655058,657396,"Feature","1",504
"505",657453,658333,"Use Case Scenario","1",505
"506",658333,664227,"sketching","2",506
"507",664227,665806,"sketching","1",507
"508",669386,670187,"Feature","2",508
"509",670233,673662,"Builds","2",509
"510",673662,675434,"G-Enactment","2",510
"511",675434,678307,"Stimulus 3 touching","2",511
"512",678307,680750,"Feature","2",512
"513",681344,682345,"Feature","1",513
"514",682345,684814,"Stimulus 3 touching","2",514
"515",684814,687831,"Usability","1",515
"516",693122,703366,"Stimulus 3 touching","2",516
"517",703533,705101,"Stimulus 3 touching","1",517
